"Ser No / Item ID","Sec Cat/Part No / Part No / Category Code","Barcode / Barcode / QR Code","Nomenclature / Equipment Name","Category","Sub-Category","UOM / Unit of Measure (UOM)","Auth Qty / Authorized Qty","System Qty","Physical Qty","Serviceable","Unserviceable","Condition","Status","Repairable","Issued To","Issued By","Location / Store Room","Min Stock Level","Date of Entry / Last Updated","Date of Exit","Time Entry","Remarks"
"SER-1098","SKU-PE-1098","","CalDigit TS4 Model 197 v3","Peripherals","USB Hubs","Set","27","27","27","27","0","Brand New","In Stock","Yes","Unassigned","ADM-101","HQ Floor 7","5","2026-08-29","N/A","02:27:00 AM","Sample item 98 barcode auto-assigned on import"
"SER-1099","SKU-NE-1099","","Aruba Instant On Model 198 v4","Networking","Routers","Pack","28","28","28","28","0","Inspected - Good","In Stock","Yes","Unassigned","ADM-101","IT Room 101","5","2026-08-29","N/A","02:27:00 AM","Sample item 99 barcode auto-assigned on import"
"SER-1100","SKU-OF-1100","","Fujitsu ScanSnap Model 199 v5","Office Tech","Shredders","Piece","29","29","29","29","0","Operational","In Stock","Yes","Unassigned","ADM-101","Service Bay 3","5","2026-08-29","N/A","02:27:00 AM","Sample item 100 barcode auto-assigned on import"
"SER-1101","SKU-SE-1101","","Hikvision 4K Dome Model 200 v1","Security & Access","Biometric Readers","Box","5","5","5","5","0","Good condition","Low Stock","Yes","Unassigned","ADM-101","Lab Alpha-4","5","2026-08-29","N/A","02:27:00 AM","Sample item 101 barcode auto-assigned on import"
"SER-1102","SKU-FI-1102","","TSC Alpha-3R Model 201 v2","Field Ops","Handheld GPS","Kit","6","6","6","6","0","Brand New","In Stock","Yes","Unassigned","ADM-101","Clean Room 2","5","2026-08-29","N/A","02:27:00 AM","Sample item 102 barcode auto-assigned on import"
"SER-1103","SKU-AU-1103","","Shure Stem Mic Model 202 v3","Audio Visual","Interactive Displays","Unit","7","7","7","7","0","Inspected - Good","In Stock","Yes","Unassigned","ADM-101","Field Ops Station Delta","5","2026-08-29","N/A","02:27:00 AM","Sample item 103 barcode auto-assigned on import"
"SER-1104","SKU-PO-1104","","Eaton 9PX UPS Model 203 v4","Power & Energy","Voltage Stabilizers","Set","8","8","8","8","0","Operational","In Stock","Yes","Unassigned","ADM-101","Data Center West","5","2026-08-29","N/A","02:27:00 AM","Sample item 104 barcode auto-assigned on import"
"SER-1105","SKU-IN-1105","","Yokogawa Flowmeter Model 204 v5","Industrial Auto","Servo Drives","Pack","9","9","9","9","0","Good condition","In Stock","Yes","Unassigned","ADM-101","Security Office","5","2026-08-29","N/A","02:27:00 AM","Sample item 105 barcode auto-assigned on import"
"SER-1106","SKU-FA-1106","","Quest Dual 155 Model 205 v1","Facility & Climate","Air Purifiers","Piece","10","10","10","10","0","Brand New","In Stock","Yes","Unassigned","ADM-101","Warehouse A-1","5","2026-08-29","N/A","02:27:00 AM","Sample item 106 barcode auto-assigned on import"
"SER-1107","SKU-RO-1107","","Universal Robots UR5e Model 206 v2","Robotics & Drones","LIDAR Sensors","Box","11","11","11","11","0","Inspected - Good","In Stock","Yes","Unassigned","ADM-101","Warehouse A-2","5","2026-08-29","N/A","02:27:00 AM","Sample item 107 barcode auto-assigned on import"
"SER-1108","SKU-ME-1108","","Hach DR3900 Model 207 v3","Medical & Lab","Digital Microscopes","Kit","12","12","12","12","0","Operational","In Stock","Yes","Unassigned","ADM-101","Warehouse B-1","5","2026-08-29","N/A","02:27:00 AM","Sample item 108 barcode auto-assigned on import"
"SER-1109","SKU-CO-1109","","Dell Precision Model 208 v4","Computing","Laptops","Unit","13","13","13","13","0","Good condition","In Stock","Yes","Unassigned","ADM-101","Warehouse B-2","5","2026-08-29","N/A","02:27:00 AM","Sample item 109 barcode auto-assigned on import"
"SER-1110","SKU-PE-1110","","Anker PowerExpand Model 209 v5","Peripherals","USB Hubs","Set","14","14","14","14","0","Brand New","In Stock","Yes","Unassigned","ADM-101","Warehouse C-3","5","2026-08-29","N/A","02:27:00 AM","Sample item 110 barcode auto-assigned on import"
"SER-1111","SKU-NE-1111","","Cisco Catalyst 9300 Model 210 v1","Networking","Routers","Pack","15","15","15","15","0","Inspected - Good","In Stock","Yes","Unassigned","ADM-101","HQ Floor 2","5","2026-08-29","N/A","02:27:00 AM","Sample item 111 barcode auto-assigned on import"
"SER-1112","SKU-OF-1112","","Creality Ender 3 Model 211 v2","Office Tech","Laminators","Piece","16","16","16","16","0","Operational","In Stock","Yes","Unassigned","ADM-101","HQ Floor 4","5","2026-08-29","N/A","02:27:00 AM","Sample item 112 barcode auto-assigned on import"
"SER-1113","SKU-SE-1113","","Bosch Motion Detector Model 212 v3","Security & Access","CCTV Cameras","Box","17","17","17","17","0","Good condition","In Stock","Yes","Unassigned","ADM-101","HQ Floor 7","5","2026-08-29","N/A","02:27:00 AM","Sample item 113 barcode auto-assigned on import"
"SER-1114","SKU-FI-1114","","Getac F110 Model 213 v4","Field Ops","Body Cams","Kit","18","18","18","18","0","Brand New","In Stock","Yes","Unassigned","ADM-101","IT Room 101","5","2026-08-29","N/A","02:27:00 AM","Sample item 114 barcode auto-assigned on import"
"SER-1115","SKU-AU-1115","","Aver Cam520 Pro Model 214 v5","Audio Visual","Conference Mics","Unit","19","19","19","19","0","Inspected - Good","In Stock","Yes","Unassigned","ADM-101","Service Bay 3","5","2026-08-29","N/A","02:27:00 AM","Sample item 115 barcode auto-assigned on import"
"SER-1116","SKU-PO-1116","","Enphase IQ8 Model 215 v1","Power & Energy","UPS Systems","Set","20","20","20","20","0","Operational","In Stock","Yes","Unassigned","ADM-101","Lab Alpha-4","5","2026-08-29","N/A","02:27:00 AM","Sample item 116 barcode auto-assigned on import"
"SER-1117","SKU-IN-1117","","Schneider Modicon Model 216 v2","Industrial Auto","Sensors","Pack","21","21","21","21","0","Good condition","In Stock","Yes","Unassigned","ADM-101","Clean Room 2","5","2026-08-29","N/A","02:27:00 AM","Sample item 117 barcode auto-assigned on import"
"SER-1118","SKU-FA-1118","","Honeywell Air Sensor Model 217 v3","Facility & Climate","Env Sensors","Piece","22","22","22","22","0","Brand New","In Stock","Yes","Unassigned","ADM-101","Field Ops Station Delta","5","2026-08-29","N/A","02:27:00 AM","Sample item 118 barcode auto-assigned on import"
"SER-1119","SKU-RO-1119","","Skydio X2 Enterprise Model 218 v4","Robotics & Drones","Flight Controllers","Box","23","23","23","23","0","Inspected - Good","In Stock","Yes","Unassigned","ADM-101","Data Center West","5","2026-08-29","N/A","02:27:00 AM","Sample item 119 barcode auto-assigned on import"
"SER-1120","SKU-ME-1120","","Olympus CX23 Model 219 v5","Medical & Lab","Autoclaves","Kit","24","24","24","24","0","Operational","In Stock","Yes","Unassigned","ADM-101","Security Office","5","2026-08-29","N/A","02:27:00 AM","Sample item 120 barcode auto-assigned on import"
"SER-1121","SKU-CO-1121","","Dell Latitude Model 220 v1","Computing","Laptops","Unit","25","25","25","25","0","Good condition","In Stock","Yes","Unassigned","ADM-101","Warehouse A-1","5","2026-08-29","N/A","02:27:00 AM","Sample item 121 barcode auto-assigned on import"
"SER-1122","SKU-PE-1122","","Razer DeathAdder Model 221 v2","Peripherals","USB Hubs","Set","26","26","26","26","0","Brand New","In Stock","Yes","Unassigned","ADM-101","Warehouse A-2","5","2026-08-29","N/A","02:27:00 AM","Sample item 122 barcode auto-assigned on import"
"SER-1123","SKU-NE-1123","","TP-Link Omada Model 222 v3","Networking","Routers","Pack","27","27","27","27","0","Inspected - Good","In Stock","Yes","Unassigned","ADM-101","Warehouse B-1","5","2026-08-29","N/A","02:27:00 AM","Sample item 123 barcode auto-assigned on import"
"SER-1124","SKU-OF-1124","","Epson WorkForce Pro Model 223 v4","Office Tech","3D Printers","Piece","28","28","28","28","0","Operational","In Stock","Yes","Unassigned","ADM-101","Warehouse B-2","5","2026-08-29","N/A","02:27:00 AM","Sample item 124 barcode auto-assigned on import"
"SER-1125","SKU-SE-1125","","Axis Camera Model 224 v5","Security & Access","Access Control","Box","29","29","29","29","0","Good condition","In Stock","Yes","Unassigned","ADM-101","Warehouse C-3","5","2026-08-29","N/A","02:27:00 AM","Sample item 125 barcode auto-assigned on import"
"SER-1126","SKU-FI-1126","","Axon Body 3 Model 225 v1","Field Ops","Rugged Tablets","Kit","5","5","5","5","0","Brand New","Low Stock","Yes","Unassigned","ADM-101","HQ Floor 2","5","2026-08-29","N/A","02:27:00 AM","Sample item 126 barcode auto-assigned on import"
"SER-1127","SKU-AU-1127","","Samsung Flip Pro Model 226 v2","Audio Visual","Soundbars","Unit","6","6","6","6","0","Inspected - Good","In Stock","Yes","Unassigned","ADM-101","HQ Floor 4","5","2026-08-29","N/A","02:27:00 AM","Sample item 127 barcode auto-assigned on import"
"SER-1128","SKU-PO-1128","","Blue Sky Solar Model 227 v3","Power & Energy","Power Distribution","Set","7","7","7","7","0","Operational","In Stock","Yes","Unassigned","ADM-101","HQ Floor 7","5","2026-08-29","N/A","02:27:00 AM","Sample item 128 barcode auto-assigned on import"
"SER-1129","SKU-IN-1129","","Keyence Sensor Model 228 v4","Industrial Auto","Flow Meters","Pack","8","8","8","8","0","Good condition","In Stock","Yes","Unassigned","ADM-101","IT Room 101","5","2026-08-29","N/A","02:27:00 AM","Sample item 129 barcode auto-assigned on import"
"SER-1130","SKU-FA-1130","","Ecobee Smart Thermostat Model 229 v5","Facility & Climate","Dehumidifiers","Piece","9","9","9","9","0","Brand New","In Stock","Yes","Unassigned","ADM-101","Service Bay 3","5","2026-08-29","N/A","02:27:00 AM","Sample item 130 barcode auto-assigned on import"
"SER-1131","SKU-RO-1131","","DJI Matrice 300 RTK Model 230 v1","Robotics & Drones","Inspection Drones","Box","10","10","10","10","0","Inspected - Good","In Stock","Yes","Unassigned","ADM-101","Lab Alpha-4","5","2026-08-29","N/A","02:27:00 AM","Sample item 131 barcode auto-assigned on import"
"SER-1132","SKU-ME-1132","","Mettler Toledo Balance Model 231 v2","Medical & Lab","Spectrophotometers","Kit","11","11","11","11","0","Operational","In Stock","Yes","Unassigned","ADM-101","Clean Room 2","5","2026-08-29","N/A","02:27:00 AM","Sample item 132 barcode auto-assigned on import"
"SER-1133","SKU-CO-1133","","Asus ExpertBook Model 232 v3","Computing","Laptops","Unit","12","12","12","12","0","Good condition","In Stock","Yes","Unassigned","ADM-101","Field Ops Station Delta","5","2026-08-29","N/A","02:27:00 AM","Sample item 133 barcode auto-assigned on import"
"SER-1134","SKU-PE-1134","","Logitech MX Master Model 233 v4","Peripherals","USB Hubs","Set","13","13","13","13","0","Brand New","In Stock","Yes","Unassigned","ADM-101","Data Center West","5","2026-08-29","N/A","02:27:00 AM","Sample item 134 barcode auto-assigned on import"
"SER-1135","SKU-NE-1135","","FS.com 10G SFP+ Model 234 v5","Networking","Routers","Pack","14","14","14","14","0","Inspected - Good","In Stock","Yes","Unassigned","ADM-101","Security Office","5","2026-08-29","N/A","02:27:00 AM","Sample item 135 barcode auto-assigned on import"
"SER-1136","SKU-OF-1136","","Fellowes Powershred Model 235 v1","Office Tech","Printers","Piece","15","15","15","15","0","Operational","In Stock","Yes","Unassigned","ADM-101","Warehouse A-1","5","2026-08-29","N/A","02:27:00 AM","Sample item 136 barcode auto-assigned on import"
"SER-1137","SKU-SE-1137","","ZKTeco Biometric Model 236 v2","Security & Access","Smart Locks","Box","16","16","16","16","0","Good condition","In Stock","Yes","Unassigned","ADM-101","Warehouse A-2","5","2026-08-29","N/A","02:27:00 AM","Sample item 137 barcode auto-assigned on import"
"SER-1138","SKU-FI-1138","","CipherLab RS35 Model 237 v3","Field Ops","Barcode Scanners","Kit","17","17","17","17","0","Brand New","In Stock","Yes","Unassigned","ADM-101","Warehouse B-1","5","2026-08-29","N/A","02:27:00 AM","Sample item 138 barcode auto-assigned on import"
"SER-1139","SKU-AU-1139","","Sony SRG-X400 Model 238 v4","Audio Visual","PTZ Cameras","Unit","18","18","18","18","0","Inspected - Good","In Stock","Yes","Unassigned","ADM-101","Warehouse B-2","5","2026-08-29","N/A","02:27:00 AM","Sample item 139 barcode auto-assigned on import"
"SER-1140","SKU-PO-1140","","CyberPower OR2200LCD Model 239 v5","Power & Energy","Solar Inverters","Set","19","19","19","19","0","Operational","In Stock","Yes","Unassigned","ADM-101","Warehouse C-3","5","2026-08-29","N/A","02:27:00 AM","Sample item 140 barcode auto-assigned on import"
"SER-1141","SKU-IN-1141","","Siemens S7-1200 Model 240 v1","Industrial Auto","PLC Controllers","Pack","20","20","20","20","0","Good condition","In Stock","Yes","Unassigned","ADM-101","HQ Floor 2","5","2026-08-29","N/A","02:27:00 AM","Sample item 141 barcode auto-assigned on import"
"SER-1142","SKU-FA-1142","","Sensaphone Remote Model 241 v2","Facility & Climate","Smart Thermostats","Piece","21","21","21","21","0","Brand New","In Stock","Yes","Unassigned","ADM-101","HQ Floor 4","5","2026-08-29","N/A","02:27:00 AM","Sample item 142 barcode auto-assigned on import"
"SER-1143","SKU-RO-1143","","Livox Mid-70 Model 242 v3","Robotics & Drones","Robotic Arms","Box","22","22","22","22","0","Inspected - Good","In Stock","Yes","Unassigned","ADM-101","HQ Floor 7","5","2026-08-29","N/A","02:27:00 AM","Sample item 143 barcode auto-assigned on import"
"SER-1144","SKU-ME-1144","","Thermo Scientific Pico 17 Model 243 v4","Medical & Lab","Thermal Cyclers","Kit","23","23","23","23","0","Operational","In Stock","Yes","Unassigned","ADM-101","IT Room 101","5","2026-08-29","N/A","02:27:00 AM","Sample item 144 barcode auto-assigned on import"
"SER-1145","SKU-CO-1145","","Apple iMac Model 244 v5","Computing","Laptops","Unit","24","24","24","24","0","Good condition","In Stock","Yes","Unassigned","ADM-101","Service Bay 3","5","2026-08-29","N/A","02:27:00 AM","Sample item 145 barcode auto-assigned on import"
"SER-1146","SKU-PE-1146","","Dell Thunderbolt Dock Model 245 v1","Peripherals","USB Hubs","Set","25","25","25","25","0","Brand New","In Stock","Yes","Unassigned","ADM-101","Lab Alpha-4","5","2026-08-29","N/A","02:27:00 AM","Sample item 146 barcode auto-assigned on import"
"SER-1147","SKU-NE-1147","","Fortinet FortiGate 60F Model 246 v2","Networking","Routers","Pack","26","26","26","26","0","Inspected - Good","In Stock","Yes","Unassigned","ADM-101","Clean Room 2","5","2026-08-29","N/A","02:27:00 AM","Sample item 147 barcode auto-assigned on import"
"SER-1148","SKU-OF-1148","","Zebra ZD421 Model 247 v3","Office Tech","Scanners","Piece","27","27","27","27","0","Operational","In Stock","Yes","Unassigned","ADM-101","Field Ops Station Delta","5","2026-08-29","N/A","02:27:00 AM","Sample item 148 barcode auto-assigned on import"
"SER-1149","SKU-SE-1149","","Yale Smart Lock Pro Model 248 v4","Security & Access","Intrusion Detectors","Box","28","28","28","28","0","Good condition","In Stock","Yes","Unassigned","ADM-101","Data Center West","5","2026-08-29","N/A","02:27:00 AM","Sample item 149 barcode auto-assigned on import"
"SER-1150","SKU-FI-1150","","Honeywell Voyager Model 249 v5","Field Ops","Thermal Printers","Kit","29","29","29","29","0","Brand New","In Stock","Yes","Unassigned","ADM-101","Security Office","5","2026-08-29","N/A","02:27:00 AM","Sample item 150 barcode auto-assigned on import"
"SER-1151","SKU-AU-1151","","Epson Pro EX10000 Model 250 v1","Audio Visual","Projectors","Unit","5","5","5","5","0","Inspected - Good","Low Stock","Yes","Unassigned","ADM-101","Warehouse A-1","5","2026-08-29","N/A","02:27:00 AM","Sample item 151 barcode auto-assigned on import"
"SER-1152","SKU-PO-1152","","Raritan PX3 Model 251 v2","Power & Energy","Battery Packs","Set","6","6","6","6","0","Operational","In Stock","Yes","Unassigned","ADM-101","Warehouse A-2","5","2026-08-29","N/A","02:27:00 AM","Sample item 152 barcode auto-assigned on import"
"SER-1153","SKU-IN-1153","","Mitsubishi MELSEC Model 252 v3","Industrial Auto","HMI Panels","Pack","7","7","7","7","0","Good condition","In Stock","Yes","Unassigned","ADM-101","Warehouse B-1","5","2026-08-29","N/A","02:27:00 AM","Sample item 153 barcode auto-assigned on import"
"SER-1154","SKU-FA-1154","","Levoit Core 600S Model 253 v4","Facility & Climate","Access Floors","Piece","8","8","8","8","0","Brand New","In Stock","Yes","Unassigned","ADM-101","Warehouse B-2","5","2026-08-29","N/A","02:27:00 AM","Sample item 154 barcode auto-assigned on import"
"SER-1155","SKU-RO-1155","","MiR250 AGV Model 254 v5","Robotics & Drones","AGV Carts","Box","9","9","9","9","0","Inspected - Good","In Stock","Yes","Unassigned","ADM-101","Warehouse C-3","5","2026-08-29","N/A","02:27:00 AM","Sample item 155 barcode auto-assigned on import"
"SER-1156","SKU-ME-1156","","Bio-Rad T100 Model 255 v1","Medical & Lab","Centrifuges","Kit","10","10","10","10","0","Operational","In Stock","Yes","Unassigned","ADM-101","HQ Floor 2","5","2026-08-29","N/A","02:27:00 AM","Sample item 156 barcode auto-assigned on import"
"SER-1157","SKU-CO-1157","","Lenovo ThinkPad Model 256 v2","Computing","Laptops","Unit","11","11","11","11","0","Good condition","In Stock","Yes","Unassigned","ADM-101","HQ Floor 4","5","2026-08-29","N/A","02:27:00 AM","Sample item 157 barcode auto-assigned on import"
"SER-1158","SKU-PE-1158","","CalDigit TS4 Model 257 v3","Peripherals","USB Hubs","Set","12","12","12","12","0","Brand New","In Stock","Yes","Unassigned","ADM-101","HQ Floor 7","5","2026-08-29","N/A","02:27:00 AM","Sample item 158 barcode auto-assigned on import"
"SER-1159","SKU-NE-1159","","Aruba Instant On Model 258 v4","Networking","Routers","Pack","13","13","13","13","0","Inspected - Good","In Stock","Yes","Unassigned","ADM-101","IT Room 101","5","2026-08-29","N/A","02:27:00 AM","Sample item 159 barcode auto-assigned on import"
"SER-1160","SKU-OF-1160","","Fujitsu ScanSnap Model 259 v5","Office Tech","Shredders","Piece","14","14","14","14","0","Operational","In Stock","Yes","Unassigned","ADM-101","Service Bay 3","5","2026-08-29","N/A","02:27:00 AM","Sample item 160 barcode auto-assigned on import"
"SER-1161","SKU-SE-1161","","Hikvision 4K Dome Model 260 v1","Security & Access","Biometric Readers","Box","15","15","15","15","0","Good condition","In Stock","Yes","Unassigned","ADM-101","Lab Alpha-4","5","2026-08-29","N/A","02:27:00 AM","Sample item 161 barcode auto-assigned on import"
"SER-1162","SKU-FI-1162","","TSC Alpha-3R Model 261 v2","Field Ops","Handheld GPS","Kit","16","16","16","16","0","Brand New","In Stock","Yes","Unassigned","ADM-101","Clean Room 2","5","2026-08-29","N/A","02:27:00 AM","Sample item 162 barcode auto-assigned on import"
"SER-1163","SKU-AU-1163","","Shure Stem Mic Model 262 v3","Audio Visual","Interactive Displays","Unit","17","17","17","17","0","Inspected - Good","In Stock","Yes","Unassigned","ADM-101","Field Ops Station Delta","5","2026-08-29","N/A","02:27:00 AM","Sample item 163 barcode auto-assigned on import"
"SER-1164","SKU-PO-1164","","Eaton 9PX UPS Model 263 v4","Power & Energy","Voltage Stabilizers","Set","18","18","18","18","0","Operational","In Stock","Yes","Unassigned","ADM-101","Data Center West","5","2026-08-29","N/A","02:27:00 AM","Sample item 164 barcode auto-assigned on import"
"SER-1165","SKU-IN-1165","","Yokogawa Flowmeter Model 264 v5","Industrial Auto","Servo Drives","Pack","19","19","19","19","0","Good condition","In Stock","Yes","Unassigned","ADM-101","Security Office","5","2026-08-29","N/A","02:27:00 AM","Sample item 165 barcode auto-assigned on import"
"SER-1166","SKU-FA-1166","","Quest Dual 155 Model 265 v1","Facility & Climate","Air Purifiers","Piece","20","20","20","20","0","Brand New","In Stock","Yes","Unassigned","ADM-101","Warehouse A-1","5","2026-08-29","N/A","02:27:00 AM","Sample item 166 barcode auto-assigned on import"
"SER-1167","SKU-RO-1167","","Universal Robots UR5e Model 266 v2","Robotics & Drones","LIDAR Sensors","Box","21","21","21","21","0","Inspected - Good","In Stock","Yes","Unassigned","ADM-101","Warehouse A-2","5","2026-08-29","N/A","02:27:00 AM","Sample item 167 barcode auto-assigned on import"
"SER-1168","SKU-ME-1168","","Hach DR3900 Model 267 v3","Medical & Lab","Digital Microscopes","Kit","22","22","22","22","0","Operational","In Stock","Yes","Unassigned","ADM-101","Warehouse B-1","5","2026-08-29","N/A","02:27:00 AM","Sample item 168 barcode auto-assigned on import"
"SER-1169","SKU-CO-1169","","Dell Precision Model 268 v4","Computing","Laptops","Unit","23","23","23","23","0","Good condition","In Stock","Yes","Unassigned","ADM-101","Warehouse B-2","5","2026-08-29","N/A","02:27:00 AM","Sample item 169 barcode auto-assigned on import"
"SER-1170","SKU-PE-1170","","Anker PowerExpand Model 269 v5","Peripherals","USB Hubs","Set","24","24","24","24","0","Brand New","In Stock","Yes","Unassigned","ADM-101","Warehouse C-3","5","2026-08-29","N/A","02:27:00 AM","Sample item 170 barcode auto-assigned on import"
"SER-1171","SKU-NE-1171","","Cisco Catalyst 9300 Model 270 v1","Networking","Routers","Pack","25","25","25","25","0","Inspected - Good","In Stock","Yes","Unassigned","ADM-101","HQ Floor 2","5","2026-08-29","N/A","02:27:00 AM","Sample item 171 barcode auto-assigned on import"
"SER-1172","SKU-OF-1172","","Creality Ender 3 Model 271 v2","Office Tech","Laminators","Piece","26","26","26","26","0","Operational","In Stock","Yes","Unassigned","ADM-101","HQ Floor 4","5","2026-08-29","N/A","02:27:00 AM","Sample item 172 barcode auto-assigned on import"
"SER-1173","SKU-SE-1173","","Bosch Motion Detector Model 272 v3","Security & Access","CCTV Cameras","Box","27","27","27","27","0","Good condition","In Stock","Yes","Unassigned","ADM-101","HQ Floor 7","5","2026-08-29","N/A","02:27:00 AM","Sample item 173 barcode auto-assigned on import"
"SER-1174","SKU-FI-1174","","Getac F110 Model 273 v4","Field Ops","Body Cams","Kit","28","28","28","28","0","Brand New","In Stock","Yes","Unassigned","ADM-101","IT Room 101","5","2026-08-29","N/A","02:27:00 AM","Sample item 174 barcode auto-assigned on import"
"SER-1175","SKU-AU-1175","","Aver Cam520 Pro Model 274 v5","Audio Visual","Conference Mics","Unit","29","29","29","29","0","Inspected - Good","In Stock","Yes","Unassigned","ADM-101","Service Bay 3","5","2026-08-29","N/A","02:27:00 AM","Sample item 175 barcode auto-assigned on import"
"SER-1176","SKU-PO-1176","","Enphase IQ8 Model 275 v1","Power & Energy","UPS Systems","Set","5","5","5","5","0","Operational","Low Stock","Yes","Unassigned","ADM-101","Lab Alpha-4","5","2026-08-29","N/A","02:27:00 AM","Sample item 176 barcode auto-assigned on import"
"SER-1177","SKU-IN-1177","","Schneider Modicon Model 276 v2","Industrial Auto","Sensors","Pack","6","6","6","6","0","Good condition","In Stock","Yes","Unassigned","ADM-101","Clean Room 2","5","2026-08-29","N/A","02:27:00 AM","Sample item 177 barcode auto-assigned on import"
"SER-1178","SKU-FA-1178","","Honeywell Air Sensor Model 277 v3","Facility & Climate","Env Sensors","Piece","7","7","7","7","0","Brand New","In Stock","Yes","Unassigned","ADM-101","Field Ops Station Delta","5","2026-08-29","N/A","02:27:00 AM","Sample item 178 barcode auto-assigned on import"
"SER-1179","SKU-RO-1179","","Skydio X2 Enterprise Model 278 v4","Robotics & Drones","Flight Controllers","Box","8","8","8","8","0","Inspected - Good","In Stock","Yes","Unassigned","ADM-101","Data Center West","5","2026-08-29","N/A","02:27:00 AM","Sample item 179 barcode auto-assigned on import"
"SER-1180","SKU-ME-1180","","Olympus CX23 Model 279 v5","Medical & Lab","Autoclaves","Kit","9","9","9","9","0","Operational","In Stock","Yes","Unassigned","ADM-101","Security Office","5","2026-08-29","N/A","02:27:00 AM","Sample item 180 barcode auto-assigned on import"
"SER-1181","SKU-CO-1181","","Dell Latitude Model 280 v1","Computing","Laptops","Unit","10","10","10","10","0","Good condition","In Stock","Yes","Unassigned","ADM-101","Warehouse A-1","5","2026-08-29","N/A","02:27:00 AM","Sample item 181 barcode auto-assigned on import"
"SER-1182","SKU-PE-1182","","Razer DeathAdder Model 281 v2","Peripherals","USB Hubs","Set","11","11","11","11","0","Brand New","In Stock","Yes","Unassigned","ADM-101","Warehouse A-2","5","2026-08-29","N/A","02:27:00 AM","Sample item 182 barcode auto-assigned on import"
"SER-1183","SKU-NE-1183","","TP-Link Omada Model 282 v3","Networking","Routers","Pack","12","12","12","12","0","Inspected - Good","In Stock","Yes","Unassigned","ADM-101","Warehouse B-1","5","2026-08-29","N/A","02:27:00 AM","Sample item 183 barcode auto-assigned on import"
"SER-1184","SKU-OF-1184","","Epson WorkForce Pro Model 283 v4","Office Tech","3D Printers","Piece","13","13","13","13","0","Operational","In Stock","Yes","Unassigned","ADM-101","Warehouse B-2","5","2026-08-29","N/A","02:27:00 AM","Sample item 184 barcode auto-assigned on import"
"SER-1185","SKU-SE-1185","","Axis Camera Model 284 v5","Security & Access","Access Control","Box","14","14","14","14","0","Good condition","In Stock","Yes","Unassigned","ADM-101","Warehouse C-3","5","2026-08-29","N/A","02:27:00 AM","Sample item 185 barcode auto-assigned on import"
"SER-1186","SKU-FI-1186","","Axon Body 3 Model 285 v1","Field Ops","Rugged Tablets","Kit","15","15","15","15","0","Brand New","In Stock","Yes","Unassigned","ADM-101","HQ Floor 2","5","2026-08-29","N/A","02:27:00 AM","Sample item 186 barcode auto-assigned on import"
"SER-1187","SKU-AU-1187","","Samsung Flip Pro Model 286 v2","Audio Visual","Soundbars","Unit","16","16","16","16","0","Inspected - Good","In Stock","Yes","Unassigned","ADM-101","HQ Floor 4","5","2026-08-29","N/A","02:27:00 AM","Sample item 187 barcode auto-assigned on import"
"SER-1188","SKU-PO-1188","","Blue Sky Solar Model 287 v3","Power & Energy","Power Distribution","Set","17","17","17","17","0","Operational","In Stock","Yes","Unassigned","ADM-101","HQ Floor 7","5","2026-08-29","N/A","02:27:00 AM","Sample item 188 barcode auto-assigned on import"
"SER-1189","SKU-IN-1189","","Keyence Sensor Model 288 v4","Industrial Auto","Flow Meters","Pack","18","18","18","18","0","Good condition","In Stock","Yes","Unassigned","ADM-101","IT Room 101","5","2026-08-29","N/A","02:27:00 AM","Sample item 189 barcode auto-assigned on import"
"SER-1190","SKU-FA-1190","","Ecobee Smart Thermostat Model 289 v5","Facility & Climate","Dehumidifiers","Piece","19","19","19","19","0","Brand New","In Stock","Yes","Unassigned","ADM-101","Service Bay 3","5","2026-08-29","N/A","02:27:00 AM","Sample item 190 barcode auto-assigned on import"
"SER-1191","SKU-RO-1191","","DJI Matrice 300 RTK Model 290 v1","Robotics & Drones","Inspection Drones","Box","20","20","20","20","0","Inspected - Good","In Stock","Yes","Unassigned","ADM-101","Lab Alpha-4","5","2026-08-29","N/A","02:27:00 AM","Sample item 191 barcode auto-assigned on import"
"SER-1192","SKU-ME-1192","","Mettler Toledo Balance Model 291 v2","Medical & Lab","Spectrophotometers","Kit","21","21","21","21","0","Operational","In Stock","Yes","Unassigned","ADM-101","Clean Room 2","5","2026-08-29","N/A","02:27:00 AM","Sample item 192 barcode auto-assigned on import"
"SER-1193","SKU-CO-1193","","Asus ExpertBook Model 292 v3","Computing","Laptops","Unit","22","22","22","22","0","Good condition","In Stock","Yes","Unassigned","ADM-101","Field Ops Station Delta","5","2026-08-29","N/A","02:27:00 AM","Sample item 193 barcode auto-assigned on import"
"SER-1194","SKU-PE-1194","","Logitech MX Master Model 293 v4","Peripherals","USB Hubs","Set","23","23","23","23","0","Brand New","In Stock","Yes","Unassigned","ADM-101","Data Center West","5","2026-08-29","N/A","02:27:00 AM","Sample item 194 barcode auto-assigned on import"
"SER-1195","SKU-NE-1195","","FS.com 10G SFP+ Model 294 v5","Networking","Routers","Pack","24","24","24","24","0","Inspected - Good","In Stock","Yes","Unassigned","ADM-101","Security Office","5","2026-08-29","N/A","02:27:00 AM","Sample item 195 barcode auto-assigned on import"
